Model,FPS,,
model_explorer_logicthinkedu_CVJD_Demo_GitHub,77.60148,,
model_explorer_axinc-ai_onnx-quantization_GitHub_3,1105.04,,
model_explorer_hardnet39ds_faff4e149a7586471f3ea8f297fed03f_Hailo,559.6708,,
model_explorer_mrakesh0608_Sahaay_GitHub,570.0146,,
model_explorer_Anshal55_Real-time-age-gender-and-emotion_GitHub,2429.909,,
model_explorer_mp_selfie_segmentation_landscape_local_model,407.9349,,
model_explorer_RevTpark_pokeDex-app_GitHub,1716.699,,
model_explorer_facial_expression_recognition_mobilefacenet_e12622b988d7e35a68309814a17ef21b_PINTO_6,2297.763,,
model_explorer_squeezenet_7512787ef918e0045b9d956b3edc283b_TFHub,840.3203,,
model_explorer_emza-vs_ModelZoo_GitHub_3,863.3446,,
model_explorer_SSDMobileNetV2_062004a403d4681fd697b105381df239_Coral,550.6066,,
model_explorer_speech_enhancement_unet_local_model,779.8444,,
model_explorer_GGolfz_Papaya-Backend_GitHub,353.2473,,
model_explorer_mobilenet_v1_0.50_128_quantized_1179e66f6fa1792e08f280eee3cdc38f_TFHub,2285.353,,
model_explorer_Tox1cCoder_CatsVsDogsClassification_GitHub,2388.409,,
model_explorer_onnx_models_GitHub_4,1092.181,,
model_explorer_RegNetY002_5c61b8901651140b31f1090e3419880e_KerasApps,1002.197,,
model_explorer_mobilenet_v1_1.0_160_quantized_6d07d9e605753e870edfcad175b7645b_TFHub,322.2369,,
model_explorer_centernet_mobilenetv2_kpts_local_model,198.7923,,
model_explorer_open-closed-eye-0001_8d44147a988e0f99ddb31beb1e69717c_PINTO_2,2312.032,,
model_explorer_balanarenmar_Project_Helping_Hands_GitHub_7,580.1462,,
model_explorer_sutongkui_SubPhysics_GitHub,2323.876,,
model_explorer_object_detection_mobile_object_localizer_v1_219f90d4ed1d812ac311ccbce9b00d77_TFHub,1521.739,,
model_explorer_batu_ProjNar_GitHub_14,2345.682,,
model_explorer_ndawinata_Flask-RestAPI-CNN-Awan_GitHub,1890.922,,
model_explorer_opencv_opencv_zoo_GitHub_33,607.7558,,
model_explorer_ML-Chen_vaporwave-gan_GitHub_1,2294.643,,
model_explorer_MoveNet.SinglePose.Thunder_3275884469dd477b7ae85170e49c44b6_Coral,210.2003,,
model_explorer_onnx_models_GitHub_54,334.493,,
model_explorer_onnx_models_GitHub_93,334.5105,,
model_explorer_onnx_models_GitHub_10,1132.646,,
model_explorer_imagenet_mobilenet_v3_large_100_224_feature_vector_53a3a715a5aa23e489fc4b242ba873b9_TFHub,326.2559,,
model_explorer_openvinotoolkit_openvino_GitHub_20,1116.506,,
model_explorer_unet_mobilenet_v2_128_local_model,168.2121,,
model_explorer_Semantic-Guided-Low-Light-Image-Enhancement_663666c92c77a498ea4aafe25dbeaad9_PINTO_8,2404.023,,
model_explorer_onnx_models_GitHub_125,334.4026,,
model_explorer_emza-vs_ModelZoo_GitHub_1,2224.639,,
model_explorer_yuradanyliuk_AutomaticParking_GitHub_4,2579.152,,
model_explorer_yolov5n_leaky_416_local_model,338.1132,,
model_explorer_onnx_models_GitHub_53,321.7677,,
model_explorer_mzakharo_tubby_GitHub,2312.759,,
model_explorer_ResNet18_b2464f4cf9b035822a1bdbf6c71cca75_OpenVINO,319.6267,,
model_explorer_PP-LCNetV2_74a1019134f7a3775833d121b9486efd_PINTO_10,1075.269,,
