model,chips,fps
model_explorer_ZICCORP_deep-learning-projects_GitHub,2,1972386.6
model_explorer_YAMNet_4a5f991ff1ae5529ac2a9166ac5dc226_PINTO_4,2,5067.2
model_explorer_MobileNetV1_7864375789ac5d0bde53382ab1e34807_Coral,2,1784.5
model_explorer_fabianhasse_openpilot_GitHub,2,1124.1
model_explorer_openvinotoolkit_openvino_GitHub_25,2,2064.9
model_explorer_myacobb_projectAvalanche_GitHub_1,2,1124.3
model_explorer_yolov8s-cls_local_model,2,864
model_explorer_MobileNetV21.0224_9265790c6211edb0136c88cfa87a5dd2_OpenVINO,2,2022.4
model_explorer_batu_ProjNar_GitHub_6,2,53685.5
model_explorer_mnasnet_1.0_96_b904282a9ac82d08187e1ddd4ba3ada7_TFHub,2,3644.7
model_explorer_onnx_models_GitHub_11,2,1732.7
model_explorer_darrenyao87_tnn-models_GitHub_1,2,1423.9
model_explorer_utopiaZhang_devops_for_datascience_GitHub_2,2,1918.4
model_explorer_squeezenet_complex_local_model,2,470.2
model_explorer_rajasoun_nlp_GitHub,2,4631.6
model_explorer_HHP-Net_821b130f29bfe641c1f1d4434a3674b4_PINTO,2,361925.4
model_explorer_quarrying_quarrying-celebrity-id_GitHub_1,2,3088.8
model_explorer_batu_ProjNar_GitHub_16,2,29403.1
model_explorer_ultraface_640_local_model,2,354.7
model_explorer_batu_ProjNar_GitHub_9,2,53685.5
model_explorer_BlazeFace_441468b8afe47ed33b41d17979de449d_PINTO,2,4947.4
model_explorer_vehicle-attributes-recognition-barrier-0039_24bce763e81d631cbef3a103f77d9c7f_PINTO_5,2,5246.7
model_explorer_netsec917_Hikari-IDS_GitHub_4,2,830564.8
model_explorer_gernet_s_local_model,2,1209.5
model_explorer_asus4_tf-lite-unity-sample_GitHub_7,2,1165.1
model_explorer_MobileNetV1_e1b7babf69061a94ac0670870a1e1e76_Coral,2,1784.5
model_explorer_torinmb_mediapipe-touchdesigner_GitHub_3,2,177.7
model_explorer_UltraLightweightFaceDetectionRFB320_960a5214e4dac129651b234f3bf0584b_OpenVINO,2,1408.2
model_explorer_piyx_ImageProcessingApplications_GitHub,2,4766.9
model_explorer_opencv_opencv_zoo_GitHub_12,2,269.8
model_explorer_ersilia-os_eos3ae7_GitHub,2,531349.6
model_explorer_efficientnet_lite0_classification_d5ba646fbc2619764c0261e69b13a86a_TFHub,2,1398.6
model_explorer_Selfie_Segmentation_eace39a3611846452997cd3d22a4a865_PINTO_1,2,177.7
model_explorer_Selfie_Segmentation_eace39a3611846452997cd3d22a4a865_PINTO_2,2,169.4
model_explorer_yuradanyliuk_AutomaticParking_GitHub_3,2,433463.4
model_explorer_mnasnet_1.0_160_f874e904c45b00b820ecb95ba4c8a962_TFHub,2,2130.9
model_explorer_mshayganfar_chista_GitHub_1,2,3313.3
model_explorer_mp_selfie_segmentation_local_model,2,177.7
model_explorer_cropnet_classifier_cassava_disease_V1_7e693311a1ce243b5315a36dc65a460e_TFHub,2,1166.3
model_explorer_mp_face_detection_full_range_local_model,2,489.5
model_explorer_asus4_tf-lite-unity-sample_GitHub_5,2,1345.4
model_explorer_HBONet0.25_7117475a66cad230a8fb88792121e0d1_OpenVINO,2,1219.9
model_explorer_yolov3-lite_54861eb28f72c109b69d2110ba8cde5c_PINTO_5,2,460.2
model_explorer_CNelis_myArtApp_GitHub,2,1216.8
model_explorer_SKT27182_portfolio_GitHub_8,2,8572.1
model_explorer_mobilenet_v1_0.25_160_quantized_7258db3c7f6c68d033c3e5849c5b0b22_TFHub,2,4255.6
model_explorer_openvinotoolkit_openvino_GitHub_22,2,580.7
model_explorer_cstub_ml-ids_GitHub_1,2,299850.1
