Model,FPS
model_explorer_IBM_mini-era_GitHub,2389.016
model_explorer_IINemo_isanlp_srl_framebank_GitHub,2414.466
model_explorer_imagenet_mobilenet_v1_025_128_classification_7c40dc544afd13a4a4b6d9cc65c5129c_TFHub,2404.257
model_explorer_imagenet_mobilenet_v1_025_192_classification_b8e402df2a973fbe9dd23cf71a42756e_TFHub,2322.867
model_explorer_imagenet_mobilenet_v1_025_224_classification_fd665875f3ab208a0ca57cc14fbedab8_TFHub,1523.585
model_explorer_imagenet_mobilenet_v1_050_128_classification_252bdd56250c14a22da8f07d43196836_TFHub,2462.114
model_explorer_imagenet_mobilenet_v1_050_224_classification_003f32bbe2c68e075c0157b396be993d_TFHub,1606.619
model_explorer_imagenet_mobilenet_v2_035_96_classification_609b09cce2876554dad240ce7b28cef1_TFHub,2434.238
model_explorer_imagenet_mobilenet_v3_large_075_224_classification_2c0eba0feb6aaec029195a28ed4d8f50_TFHub,545.4012
model_explorer_imagenet_mobilenet_v3_large_075_224_classification_d2482d40e214f2b9cc1a6d3118e1c7d6_TFHub,1552.752
model_explorer_imagenet_mobilenet_v3_large_075_224_feature_vector_19188b8fc6bfbf1475a81462672bdbeb_TFHub,554.2912
model_explorer_imagenet_mobilenet_v3_large_100_224_classification_31c913c9c7e4305a1ae71b220741a1ab_TFHub,554.3648
model_explorer_imagenet_mobilenet_v3_large_100_224_classification_d25888f018f2ec62d432d6eb60984f0d_TFHub,1624.364
model_explorer_imagenet_mobilenet_v3_large_100_224_feature_vector_53a3a715a5aa23e489fc4b242ba873b9_TFHub,554.3604
model_explorer_imagenet_mobilenet_v3_small_075_224_classification_ba1a0bff8e0c1fc1716e3922affd6983_TFHub,1558.813
model_explorer_imagenet_mobilenet_v3_small_075_224_feature_vector_87fd5db86edd3e410b475581fe33c557_TFHub,554.191
model_explorer_imagenet_mobilenet_v3_small_100_224_classification_962b115180de6f0edbd74871053f89f5_TFHub,553.8148
model_explorer_imagenet_mobilenet_v3_small_100_224_feature_vector_6dd0531639674eb62e502bdadc46e834_TFHub,554.0306
model_explorer_InceptionV1_8a9bab243e0778a9c24944003dcdcbed_Coral,1048.915
