#,Model,target_system,chips,Frames,Total Runs,Finished Runs,Min FPS,Max FPS,Avg FPS,Delta FPS,Min Latency,Max Latency,Avg Latency,Delta Latency,Commit,Start Time (UTC)
168,k_real_yolov1_tiny_performance_cascade_plus,Cascade+,1,5,1,1,427.0730474353571,427.0730474353571,427.1,0.0,3.9572545018007204,3.9572545018007204,4.0,0.0,'5558f3e9a',2024-05-08 17:00:55
169,k_real_resnet34_v1_performance_cascade_plus,Cascade+,3,5,1,1,1459.5611329208132,1459.5611329208132,1459.6,0.0,2.950690276110444,2.950690276110444,3.0,0.0,'5558f3e9a',2024-05-08 17:00:55
170,k_real_efficientnetv2b3_performance_cascade_plus,Cascade+,4,5,1,1,629.2505572984378,629.2505572984378,629.3,95.7,22.20648019207683,22.20648019207683,22.2,-35.3,'5558f3e9a',2024-05-08 17:00:55
171,tf_real_centernet_resnetv1_fpn_performance_cascade_plus,Cascade+,3,5,1,1,27.941166235096404,27.941166235096404,27.9,0.0,39.01188835534214,39.01188835534214,39.0,0.0,'5558f3e9a',2024-05-08 17:00:55
172,k_real_unet_ultrasound_performance_cascade_plus,Cascade+,1,5,1,1,260.14531598677286,260.14531598677286,260.1,0.0,3.9660732292917165,3.9660732292917165,4.0,0.0,'5558f3e9a',2024-05-08 17:00:55
173,tfl_real_mp_selfie_segmentation_landscape_performance_cascade_plus,Cascade+,1,5,1,1,315.61745648703754,315.61745648703754,315.6,-13.4,3.2532917166866744,3.2532917166866744,3.3,17.9,'5558f3e9a',2024-05-08 17:00:55
174,onnx_real_bodypix_resnet50_416_performance_cascade_plus,Cascade+,3,5,1,1,206.81396140722376,206.81396140722376,206.8,-1.2,13.05969387755102,13.05969387755102,13.1,0.0,'5558f3e9a',2024-05-08 17:00:55
175,onnx_real_yolox_nano_ti_lite_performance_cascade_plus,Cascade+,1,5,1,1,204.77587489447774,204.77587489447774,204.8,0.1,7.996894357743097,7.996894357743097,8.0,0.0,'5558f3e9a',2024-05-08 17:00:55
176,k_real_resnet152_v2_performance_cascade_plus,Cascade+,6,5,1,1,113.38349203052208,113.38349203052208,113.4,0.1,48.68119807923169,48.68119807923169,48.7,0.2,'5558f3e9a',2024-05-08 17:00:55
177,k_real_linknet_resnet18_performance_cascade_plus,Cascade+,2,5,1,1,31.092158538953715,31.092158538953715,31.1,0.0,33.713314525810326,33.713314525810326,33.7,0.0,'5558f3e9a',2024-05-08 17:00:55
178,k_real_efficientnetb2_performance_cascade_plus,Cascade+,3,5,1,1,273.8977874615643,273.8977874615643,273.9,0.0,25.722073229291716,25.722073229291716,25.7,0.0,'5558f3e9a',2024-05-08 17:00:55
179,tf_real_movenet_singlepose_lightning_performance_cascade_plus,Cascade+,1,5,1,1,383.38414055332044,383.38414055332044,383.4,-6.1,3.136488595438175,3.136488595438175,3.1,3.3,'5558f3e9a',2024-05-08 17:00:55
180,k_real_efficientnetv2b2_performance_cascade_plus,Cascade+,2,5,1,1,275.0227809986662,275.0227809986662,275.0,0.0,26.970558223289316,26.970558223289316,27.0,0.0,'5558f3e9a',2024-05-08 17:00:55
181,tfl_real_mp_face_detection_full_range_performance_cascade_plus,Cascade+,1,5,1,1,466.43932649073,466.43932649073,466.4,-6.0,2.9784573829531813,2.9784573829531813,3.0,3.4,'5558f3e9a',2024-05-08 17:00:55
182,tf_real_squeezedet_kitti_performance_cascade_plus,Cascade+,1,5,1,1,187.62776228666212,187.62776228666212,187.6,0.1,9.88766986794718,9.88766986794718,9.9,1.0,'5558f3e9a',2024-05-08 17:00:55
